Year,Month,starwas6duration
2006,1,71
2006,2,56
2006,3,55
2006,4,46
2006,5,47
2006,6,94
2006,7,100
2006,8,71
2006,9,60
2006,10,74
2006,11,42
2006,12,35
2007,1,25
2007,2,32
2007,3,50
2007,4,45
2007,5,45
2007,6,60
2007,7,58
2007,8,49
2007,9,60
2007,10,36
2007,11,65
2007,12,47
2008,1,73
2008,2,52
2008,3,38
2008,4,44
2008,5,79
2008,6,33
2008,7,57
2008,8,50
2008,9,26
2008,10,45
2008,11,93
2008,12,99
2009,1,89
2009,2,81
2009,3,98
2009,4,58
2009,5,75
2009,6,71
2009,7,72
2009,8,44
2009,9,38
2009,10,51
2009,11,56
2009,12,55
2010,1,58
2010,2,71
2010,3,85
2010,4,35
2010,5,40
2010,6,52
2010,7,41
2010,8,54
2010,9,62
2010,10,43
2010,11,48
2010,12,46
2011,1,45
2011,2,61
2011,3,57
2011,4,49
2011,5,38
2011,6,56
2011,7,33
2011,8,16
2011,9,12
2011,10,18
2011,11,14
2011,12,34
2012,1,40
2012,2,48
2012,3,48
2012,4,49
2012,5,46
2012,6,49
2012,7,57
2012,8,40
2012,9,35
2012,10,31
2012,11,51
2012,12,33
2013,1,40
2013,2,45
2013,3,44
2013,4,25
2013,5,34
2013,6,54
2013,7,59
2013,8,44
2013,9,49
2013,10,43
2013,11,34
2013,12,36
2014,1,42
2014,2,33
2014,3,37
2014,4,29
2014,5,35
2014,6,37
2014,7,60
2014,8,39
2014,9,47
2014,10,55
2014,11,43
2014,12,37
2015,1,43
2015,2,55
2015,3,54
2015,4,60
2015,5,60
2015,6,71
2015,7,62
2015,8,55
2015,9,46
2015,10,53
2015,11,50
2015,12,41
