Year,Month,starwas5duration
2006,1,43
2006,2,38
2006,3,38
2006,4,21
2006,5,36
2006,6,67
2006,7,62
2006,8,54
2006,9,48
2006,10,47
2006,11,33
2006,12,25
2007,1,19
2007,2,20
2007,3,33
2007,4,30
2007,5,29
2007,6,44
2007,7,46
2007,8,41
2007,9,38
2007,10,24
2007,11,39
2007,12,42
2008,1,27
2008,2,40
2008,3,32
2008,4,38
2008,5,35
2008,6,37
2008,7,46
2008,8,36
2008,9,32
2008,10,36
2008,11,98
2008,12,91
2009,1,80
2009,2,84
2009,3,85
2009,4,59
2009,5,60
2009,6,62
2009,7,74
2009,8,66
2009,9,41
2009,10,51
2009,11,55
2009,12,70
2010,1,53
2010,2,57
2010,3,61
2010,4,52
2010,5,45
2010,6,54
2010,7,48
2010,8,49
2010,9,42
2010,10,65
2010,11,66
2010,12,70
2011,1,74
2011,2,76
2011,3,74
2011,4,48
2011,5,71
2011,6,48
2011,7,46
2011,8,14
2011,9,17
2011,10,14
2011,11,13
2011,12,12
2012,1,16
2012,2,14
2012,3,17
2012,4,9
2012,5,13
2012,6,14
2012,7,11
2012,8,12
2012,9,10
2012,10,13
2012,11,11
2012,12,8
2013,1,9
2013,2,10
2013,3,10
2013,4,9
2013,5,11
2013,6,14
2013,7,15
2013,8,12
2013,9,10
2013,10,5
2013,11,4
2013,12,2
2014,1,2
2014,2,2
2014,3,3
2014,4,1
2014,5,1
2014,6,2
2014,7,2
2014,8,1
2014,9,3
2014,10,2
2014,11,1
2014,12,2
2015,1,0
2015,2,1
2015,3,10
2015,4,11
2015,5,10
2015,6,14
2015,7,7
2015,8,9
2015,9,11
2015,10,23
2015,11,28
2015,12,21
