Year,Month,starwas4duration
2006,1,59
2006,2,49
2006,3,70
2006,4,41
2006,5,62
2006,6,81
2006,7,59
2006,8,76
2006,9,42
2006,10,72
2006,11,45
2006,12,29
2007,1,28
2007,2,28
2007,3,41
2007,4,45
2007,5,35
2007,6,55
2007,7,52
2007,8,71
2007,9,44
2007,10,41
2007,11,55
2007,12,34
2008,1,61
2008,2,41
2008,3,50
2008,4,39
2008,5,40
2008,6,53
2008,7,49
2008,8,61
2008,9,61
2008,10,66
2008,11,116
2008,12,79
2009,1,125
2009,2,85
2009,3,108
2009,4,103
2009,5,102
2009,6,88
2009,7,88
2009,8,106
2009,9,57
2009,10,82
2009,11,64
2009,12,88
2010,1,79
2010,2,80
2010,3,89
2010,4,85
2010,5,68
2010,6,69
2010,7,59
2010,8,73
2010,9,56
2010,10,89
2010,11,57
2010,12,66
2011,1,65
2011,2,54
2011,3,80
2011,4,64
2011,5,72
2011,6,63
2011,7,50
2011,8,24
2011,9,12
2011,10,20
2011,11,18
2011,12,13
2012,1,13
2012,2,13
2012,3,20
2012,4,12
2012,5,13
2012,6,16
2012,7,11
2012,8,10
2012,9,4
2012,10,17
2012,11,9
2012,12,3
2013,1,6
2013,2,4
2013,3,4
2013,4,4
2013,5,3
2013,6,2
2013,7,11
2013,8,11
2013,9,12
2013,10,75
2013,11,125
2013,12,109
2014,1,137
2014,2,122
2014,3,108
2014,4,117
2014,5,106
2014,6,112
2014,7,126
2014,8,106
2014,9,82
2014,10,87
2014,11,84
2014,12,69
2015,1,81
2015,2,59
2015,3,75
2015,4,86
2015,5,81
2015,6,89
2015,7,66
2015,8,88
2015,9,79
2015,10,88
2015,11,79
2015,12,62
